R1,R2,L1,L2,Bandwidth_Hz,Loss
0.9991702306821759,0.9991511955377645,0.005473047790161875,4.999759663714954,2385.4270109986755,5223176.62260234
0.9994476689718461,0.999356930520167,0.005286241900954404,4.998672319584506,2385.6517922695575,5224204.115505041
0.9981926961535855,0.9993823730101277,0.005109573854861604,4.9925769923089645,2389.1060985737513,5240006.730527541
0.9994498172690183,0.98907627065941,0.005347327896062267,4.99591401577376,2391.025118025848,5248796.09142535
0.9994166909607962,0.9886522914102746,0.0059793177897956825,4.99785665961832,2391.0834951156817,5249063.581591488
0.999437137980908,0.9898404884989966,0.005516615553802595,4.993673049462523,2391.3582370836166,5250322.570650939
0.9989388986632596,0.999024763958326,0.005828905884461255,4.985476551672651,2392.154322101784,5253971.43632989
0.9752084493539463,0.9994931144736448,0.00518621952276237,4.999938739090028,2392.5501330461234,5255786.112529798
0.9992439350186585,0.9911634358163033,0.005361240074146011,4.990836241088486,2393.1650359450086,5258605.882080672
0.9993198955556235,0.9820855752377933,0.005342717489266942,4.999572650022259,2396.2887653787393,5272942.094004615
